import_ref;category_code;caseref;country;origin;type_code;alt_ref;responsible;filing_date;filing_num;registration_date;registration_num;publication_date;publication_num;expire_date;notes;parent_ref;import_ref;type_code;value;language;display_order;type_code;value;language;display_order;import_ref;actor_display_name;role;display_order;rate;actor_ref;date;import_ref;actor_display_name;role;display_order;rate;actor_ref;date;import_ref;actor_display_name;role;display_order;rate;actor_ref;date
IMP-001;TM;TM01MHW01;FR;;;;admin;2018-05-03;4450726;2018-05-03;4450726;2018-05-25;;2028-05-03;;;IMP-001;TIT;DERMO IONIQ;en;1;CL;3, 5, 44 ;en;1;IMP-001;MHW;CLI;1;;;;IMP-001;MHW;OWN;1;;;;IMP-001;;CNT;1;;;
IMP-002;TM;SUROCHEFORT;FR;;;;admin;2005-12-26;3401342;2005-12-26;3401342;2006-02-10;;2035-12-26;;;IMP-002;TIT;LE PETIT ECONOMISTE;en;1;CL;16, 35, 41;en;1;IMP-002;ROCHEFORT EDITIONS;CLI;1;;;;IMP-002;ROCHEFORT EDITIONS;OWN;1;;;;IMP-002;ROCHEFORT;CNT;1;;;
IMP-003;TM;TM06FERMENTALG01;FR;;;;admin;2018-06-01;4457909;2018-06-01;4457909;2018-06-22;;2028-06-01;;;IMP-003;TIT;DHA ORIGINS 350 (logo);en;3;CL;1, 5, 29, 30, 32;en;1;IMP-003;FERMENTALG;CLI;1;;;;IMP-003;FERMENTALG;OWN;1;;;;IMP-003;COURTIAU;CNT;1;;;
IMP-004;TM;TM07FERMENTALG02;FR;;;;admin;2018-06-01;4457914;2018-06-01;4457914;2018-06-22;;2028-06-01;;;IMP-004;TIT;DHA ORIGINS 400 (logo);en;1;CL;1, 5, 29, 30, 32;en;1;IMP-004;FERMENTALG;CLI;1;;;;IMP-004;FERMENTALG;OWN;1;;;;IMP-004;COURTIAU;CNT;1;;;
IMP-009;TM;TM08FERMENTALG03;FR;;;;admin;2018-06-01;4457916;2018-06-01;4457916;2018-06-22;;2028-06-01;;;IMP-009;TIT;DHA ORIGINS 550 (logo);en;1;CL;1, 5, 29, 30, 32;en;1;IMP-009;FERMENTALG;CLI;1;;;;IMP-009;FERMENTALG;OWN;1;;;;IMP-009;COURTIAU;CNT;1;;;
IMP-010;TM;TM11FERMENTALG05;FR;;;;admin;2008-01-08;3549003;2008-01-08;3549003;2008-02-22;;2028-08-31;;;IMP-010;TIT;FERMENTALG;en;1;CL;4, 5, 31;en;1;IMP-010;FERMENTALG;CLI;1;;;;IMP-010;FERMENTALG;OWN;1;;;;IMP-010;COURTIAU;CNT;1;;;
IMP-011;TM;;FR;;;;admin;2017-03-28;4349606;2017-03-28;4349606;2017-04-21;;2027-03-28;;;IMP-011;TIT;PROTEALG;en;1;CL;5, 31;en;1;IMP-011;FERMENTALG;CLI;1;;;;IMP-011;FERMENTALG;OWN;1;;;;IMP-011;COURTIAU;CNT;1;;;
IMP-012;TM;TM09FERMENTALG04;FR;;;;admin;2018-06-25;4464313;2018-06-25;4464313;2018-07-20;;2028-06-30;;;IMP-012;TIT;FERMENTALG;en;1;CL;1, 2, 5, 29, 30, 32, 42;en;1;IMP-012;FERMENTALG;CLI;1;;;;IMP-012;FERMENTALG;OWN;1;;;;IMP-012;COURTIAU;CNT;1;;;
IMP-013;TM;;UE;;;;admin;2017-01-18;16265936;2017-05-10;16265936;2017-01-26;;2027-01-18;;;IMP-013;TIT;NAIADAE;en;1;CL;3, 5;en;1;IMP-013;MONDERNA;CLI;1;;;;IMP-013;MONDERNA;OWN;1;;;;IMP-013;;CNT;1;;;
IMP-014;TM;;UK;;;;admin;2017-01-17;UK00916265936;2017-05-05;UK00916265936;;;2027-01-18;;;IMP-014;TIT;NAIADAE;en;1;CL;3, 5;en;1;IMP-014;MONDERNA;CLI;1;;;;IMP-014;MONDERNA;OWN;1;;;;IMP-014;;CNT;1;;;
IMP-015;TM;;FR;;;;admin;2016-08-02;4291390;2016-08-02;4291390;2016-08-26;;2026-08-31;;;IMP-015;TIT;COLLAGENE D'EAU DOUCE;en;1;CL;3, 5, 44;en;1;IMP-015;MONDERNA;CLI;1;;;;IMP-015;MONDERNA;OWN;1;;;;IMP-015;;CNT;1;;;
IMP-016;TM;;FR;;;;admin;2016-07-22;4289006;2016-07-22;4289006;2016-08-12;;2026-07-31;;;IMP-016;TIT;NAIADAE;en;1;CL;3, 5, 10, 35, 41, 44;en;1;IMP-016;MONDERNA;CLI;1;;;;IMP-016;MONDERNA;OWN;1;;;;IMP-016;;CNT;1;;;
IMP-017;TM;TM10DELAGE01;FR;;;;admin;2018-09-14;4482789;2018-09-14;4482789;2018-10-05;;2028-09-14;;;IMP-017;TIT;CARENTONUS;en;1;CL;35, 36, 41, 42, 43;en;1;IMP-017;Christian DELAGE;CLI;1;;;;IMP-017;Christian DELAGE;OWN;1;;;;IMP-017;DELAGE C;CNT;1;;;
IMP-018;TM;TM12FERMENTALG06;FR;;;;admin;2018-09-14;4482787;2018-09-14;4482787;2018-10-05;;2028-09-14;;;IMP-018;TIT;FERMENTALG;en;1;CL;3;en;1;IMP-018;FERMENTALG;CLI;1;;;;IMP-018;FERMENTALG;OWN;1;;;;IMP-018;COURTIAU;CNT;1;;;
IMP-019;TM;TM15FERMENTALG09 ;CA;;;;admin;2018-09-14;1 920 032;2021-11-16;1920032;;;2031-11-16;;;IMP-019;TIT;DHA ORIGINS 400 (logo);en;1;CL;1, 5, 29, 30, 32;en;1;IMP-019;FERMENTALG;CLI;1;;;;IMP-019;FERMENTALG;OWN;1;;;;IMP-019;COURTIAU;CNT;1;;;
IMP-020;TM;TM16FERMENTALG10;CA;;;;admin;2018-09-14;1 920 034;2021-11-16;1920034;;;2031-11-16;;;IMP-020;TIT;DHA ORIGINS 550 (logo);en;1;CL;1, 5, 29, 30, 32;en;1;IMP-020;FERMENTALG;CLI;1;;;;IMP-020;FERMENTALG;OWN;1;;;;IMP-020;COURTIAU;CNT;1;;;
IMP-021;TM;TM17BOUCHAGESDELAGE01;FR;;;;admin;2018-09-20;4484572;2018-09-20;4484572;2018-10-12;;2028-09-20;;;IMP-021;TIT;WOOD LOOK;en;1;CL;6, 17, 20, 21, 35;en;1;IMP-021;BOUCHAGES DELAGE;CLI;1;;;;IMP-021;BOUCHAGES DELAGE;OWN;1;;;;IMP-021;;CNT;1;;;
IMP-022;TM;TM14FERMENTALG08;WO;WO;;;admin;2018-10-12;1449293;;1449293;;;2028-10-12;;;IMP-022;TIT;DHA ORIGINS 550 (logo);en;1;CL;1, 5, 29, 30, 32;en;1;IMP-022;FERMENTALG;CLI;1;;;;IMP-022;FERMENTALG;OWN;1;;;;IMP-022;COURTIAU;CNT;1;;;
IMP-023;TM;TM14FERMENTALG08;UE;WO;;;admin;2018-10-12;1449293;2019-08-01;1449293;;;2028-10-12;octroi;;IMP-023;TIT;DHA ORIGINS 550 (logo);en;1;CL;1, 5, 29, 30, 32;en;1;IMP-023;FERMENTALG;CLI;1;;;;IMP-023;FERMENTALG;OWN;1;;;;IMP-023;COURTIAU;CNT;1;;;
IMP-024;TM;TM14FERMENTALG08;UK;;;;admin;2018-10-12;UK00801449293;2019-07-16;UK00801449293;;;2028-10-12;;;IMP-024;TIT;DHA ORIGINS 550 (logo);en;1;CL;1, 5, 29, 30, 32;en;1;IMP-024;FERMENTALG;CLI;1;;;;IMP-024;FERMENTALG;OWN;1;;;;IMP-024;COURTIAU;CNT;1;;;
IMP-025;TM;TM14FERMENTALG08;JP;WO;;;admin;2018-10-12;1449293;2021-01-08;;;;2028-10-12;octroi;;IMP-025;TIT;DHA ORIGINS 550 (logo);en;1;CL;1, 5, 29, 30, 32;en;1;IMP-025;FERMENTALG;CLI;1;;;;IMP-025;FERMENTALG;OWN;1;;;;IMP-025;COURTIAU;CNT;1;;;
IMP-026;TM;TM14FERMENTALG08;US;WO;;;admin;2018-10-12;1449293;2020-08-25;6132389;;;2028-10-12;Octroi;;IMP-026;TIT;DHA ORIGINS 550 (logo);en;1;CL;1, 5, 29, 30, 32;en;1;IMP-026;FERMENTALG;CLI;1;;;;IMP-026;FERMENTALG;OWN;1;;;;IMP-026;COURTIAU;CNT;1;;;
IMP-027;TM;TM14FERMENTALG08;SG;WO;;;admin;2020-10-08;1449293;;79251673;;;2028-10-12;;;IMP-027;TIT;DHA ORIGINS 550 (logo);en;1;CL;1, 5;en;1;IMP-027;FERMENTALG;CLI;1;;;;IMP-027;FERMENTALG;OWN;1;;;;IMP-027;COURTIAU;CNT;1;;;
IMP-028;TM;TM13FERMENTALG07;WO;WO;;;admin;2018-10-12;1448049;;1448049;;;2028-10-12;;;IMP-028;TIT;DHA ORIGINS 400 (logo);en;1;CL;1, 5, 29, 30, 32;en;1;IMP-028;FERMENTALG;CLI;1;;;;IMP-028;FERMENTALG;OWN;1;;;;IMP-028;COURTIAU;CNT;1;;;
IMP-029;TM;TM13FERMENTALG07;UE;WO;;;admin;2018-10-12;1448049;2019-08-01;1448049;;;2028-10-12;octroi;;IMP-029;TIT;DHA ORIGINS 400 (logo);en;1;CL;1, 5, 29, 30, 32;en;1;IMP-029;FERMENTALG;CLI;1;;;;IMP-029;FERMENTALG;OWN;1;;;;IMP-029;COURTIAU;CNT;1;;;
IMP-030;TM;TM13FERMENTALG07;UK;;;;admin;2018-10-12;UK00801448049;2019-07-12;UK00801448049;;;2028-10-12;;;IMP-030;TIT;DHA ORIGINS 400 (logo);en;1;CL;1, 5, 29, 30, 32;en;1;IMP-030;FERMENTALG;CLI;1;;;;IMP-030;FERMENTALG;OWN;1;;;;IMP-030;COURTIAU;CNT;1;;;
