"code","name","category","country","is_task","status_event","default_responsible","use_matter_resp","unique","killer","notes","creator","updater","created_at","updated_at"
"ABA","{
    ""en"": ""Abandoned"",
    ""fr"": ""Abandonné"",
    ""de"": ""Aufgegeben""
}",NULL,NULL,"0","1",NULL,"0","1","1",NULL,"system",NULL,"2024-03-08 11:26:57","2024-03-08 11:26:57"
"ALL","{
    ""en"": ""Allowance"",
    ""fr"": ""Intention délivrance"",
    ""de"": ""Zulassung""
}","TM",NULL,"0","1",NULL,"0","0","0","Use also for R71.3 in EP","system","claire.yam","2024-03-08 11:26:57","2025-11-26 18:19:30"
"APL","{
    ""en"": ""Appeal"",
    ""fr"": ""Recours"",
    ""de"": ""Beschwerde""
}",NULL,NULL,"0","1",NULL,"1","0","0","Appeal or other remedy filed","system",NULL,"2024-03-08 11:26:57","2024-03-08 11:26:57"
"CAN","{
    ""en"": ""Cancelled"",
    ""fr"": ""Annulé"",
    ""de"": ""Storniert""
}","TM",NULL,"0","1",NULL,"0","0","1",NULL,"system",NULL,"2024-03-08 11:26:57","2024-03-08 11:26:57"
"CLO","{
    ""en"": ""Closed"",
    ""fr"": ""Clôturé"",
    ""de"": ""Geschlossen""
}","LTG",NULL,"0","1",NULL,"0","0","1",NULL,"system",NULL,"2024-03-08 11:26:57","2024-03-08 11:26:57"
"COM","{
    ""en"": ""Communication"",
    ""fr"": ""Communication"",
    ""de"": ""Mitteilung""
}",NULL,NULL,"0","0",NULL,"0","0","0","Communication regarding administrative or formal matters (missing parts, irregularities...)","system",NULL,"2024-03-08 11:26:57","2024-03-08 11:26:57"
"CRE","{
    ""en"": ""Created"",
    ""fr"": ""Création"",
    ""de"": ""Erstellt""
}",NULL,NULL,"0","0",NULL,"0","1","0","Creation date of matter - for attaching tasks necessary before anything else","system",NULL,"2024-03-08 11:26:57","2024-03-08 11:26:57"
"DAPL","{
    ""en"": ""Decision on Appeal"",
    ""fr"": ""Décision sur recours"",
    ""de"": ""Beschwerdeentscheidung""
}",NULL,NULL,"0","0",NULL,"0","0","0","State outcome in detail field","system",NULL,"2024-03-08 11:26:57","2024-03-08 11:26:57"
"EXA","{
    ""en"": ""Examiner Action"",
    ""fr"": ""Notification d'examen"",
    ""de"": ""Prüferbescheid""
}",NULL,NULL,"0","0",NULL,"0","0","0","AKA Office Action, i.e. anything related to substantive examination","system",NULL,"2024-03-08 11:26:57","2024-03-08 11:26:57"
"EXP","{
    ""en"": ""Expiry"",
    ""fr"": ""Expiration"",
    ""de"": ""Ablauf""
}",NULL,NULL,"0","1",NULL,"0","1","1","Do not use nor change - present for internal functionality","system",NULL,"2024-03-08 11:26:57","2024-03-08 11:26:57"
