id;active;task;trigger_event;clear_task;delete_task;for_category;for_country;for_origin;for_type;detail;days;months;years;recurring;end_of_month;abort_on;condition_event;use_priority;use_before;use_after;cost;fee;currency;responsible;notes;creator;updater;created_at;updated_at;uid
1;1;EXP;FIL;0;0;SO;FR;NULL;NULL;NULL;0;0;20;0;0;NULL;NULL;0;NULL;NULL;NULL;NULL;EUR;NULL;NULL;system;NULL;08/03/2024 11:26;08/03/2024 11:26;8c988c5924d8e6f119b21eff2f306922
2;1;FAP;ORE;0;0;OP;NULL;NULL;NULL;NULL;0;2;0;0;0;NULL;NULL;0;NULL;NULL;NULL;NULL;EUR;NULL;NULL;system;NULL;08/03/2024 11:26;08/03/2024 11:26;310d7b4e26e8552d3d7fd070c859ffd2
3;1;FOP;OPP;1;0;OP;NULL;NULL;NULL;Clear;0;0;0;0;0;NULL;NULL;0;NULL;NULL;NULL;NULL;EUR;NULL;"Clear ""File Opposition"" task when ""Opposition"" event is created";system;NULL;08/03/2024 11:26;08/03/2024 11:26;d4020dd2d94e1459d4d779e20b83a114
4;1;PRID;FIL;0;0;TM;NULL;NULL;NULL;NULL;0;6;0;0;0;PRI;NULL;0;NULL;NULL;NULL;NULL;EUR;NULL;Priority deadline is inserted only if no priority event exists;system;claire.yam;08/03/2024 11:26;27/03/2024 14:52;f25b625a8019f0849b79a483b9dab754
5;1;PRID;PRI;0;1;TM;NULL;NULL;NULL;Delete;0;0;0;0;0;NULL;NULL;0;NULL;NULL;NULL;NULL;EUR;NULL;Deletes priority deadline when a priority event is inserted;system;claire.yam;08/03/2024 11:26;27/03/2024 14:59;151a27f208243ee8e6b12caa96e8acdf
6;1;PRID;FIL;0;0;DP;NULL;NULL;NULL;NULL;0;6;0;0;0;PRI;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;Priority deadline is inserted only if no priority event exists;claire.yam;claire.yam;22/03/2024 16:29;22/03/2024 16:34;8d14f4e5ea84a4e1d4b2e06812ea99f6
7;1;PRID;PRI;0;1;DP;NULL;NULL;NULL;Delete;0;0;0;0;0;NULL;FIL;0;NULL;NULL;NULL;NULL;NULL;NULL;Deletes priority deadline when a priority event is inserted;claire.yam;claire.yam;22/03/2024 16:29;22/03/2024 16:32;4e6962a9a61526f060d2643226c837dd
8;1;PROD;REG;0;0;TM;US;NULL;NULL;Declaration of use;0;66;0;0;0;NULL;NULL;0;NULL;NULL;NULL;NULL;EUR;NULL;délai à 5 ans et demi;system;NULL;08/03/2024 11:26;08/03/2024 11:26;d5f06d02c6d7379679f822066071d9f0
9;1;PROD;OPP;0;0;TM;FR;NULL;NULL;Observations;0;2;0;0;0;NULL;NULL;0;NULL;NULL;NULL;NULL;EUR;NULL;NULL;system;NULL;08/03/2024 11:26;08/03/2024 11:26;d8df87b7fbe4e6ba64aac50d75fa1c1a
10;1;PROD;ALL;0;0;TM;US;NULL;NULL;Statement of use;0;6;0;0;0;NULL;NULL;0;NULL;NULL;NULL;NULL;EUR;NULL;NULL;system;NULL;08/03/2024 11:26;08/03/2024 11:26;8d3a4d8f1972fdc88c9a1b0f315bb4b9
11;1;PROD;REG;0;0;TM;US;NULL;NULL;Declaration of use;0;114;0;0;0;NULL;NULL;0;NULL;NULL;NULL;NULL;EUR;NULL;délai à 9 ans et demi;system;NULL;08/03/2024 11:26;08/03/2024 11:26;c12b66d6a51f2ef1367f73fb432540d8
12;1;PROD;APL;0;0;TM;EM;NULL;NULL;Appeal Brief;0;4;0;0;0;NULL;NULL;0;NULL;NULL;NULL;NULL;EUR;NULL;NULL;system;NULL;08/03/2024 11:26;08/03/2024 11:26;e3fc31b34aa011bf5f2c7f023d38ac4d
13;1;PROD;REG;0;0;TM;MX;NULL;NULL;Declaration of use;0;36;0;0;0;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;délai à 3 ans : 3 mois pour déposer la déclaration d'usage à partir de la date d'enregistrement;claire.yam;claire.yam;15/03/2024 17:11;15/03/2024 17:13;f574668c30f542126c72c59a89605976
14;1;PROD;FIL;0;0;TM;MX;NULL;NULL;Declaration of use (renou);0;0;10;0;0;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;claire.yam;claire.yam;15/03/2024 17:40;15/03/2024 18:16;9e0d3e2b32d76d366a3442f5ee8c7317
15;1;PROD;REG;0;0;TM;KH;NULL;NULL;Declaration of use;0;0;5;0;0;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;claire.yam;NULL;15/03/2024 18:01;15/03/2024 18:01;8ef8b86e7b4d48814e45caeceddb77f7
